,count,mean,std,min,25%,50%,75%,max
Grid Ref: Easting,2507.0,429884.59792580776,4759.21762085045,414746.0,427286.0,429919.0,432072.5,445256.0
Grid Ref: Northing,2507.0,434308.5723972876,4299.485482943355,423384.0,431991.0,434310.0,436200.0,449526.0
Number of Vehicles,2507.0,1.8739529317909853,0.7269109242528037,1.0,1.0,2.0,2.0,8.0
Number of Casualties,2507.0,1.7151974471479856,1.225339501672497,1.0,1.0,1.0,2.0,10.0
Time (24hr),2507.0,1388.8667730355005,531.9301658279168,1.0,1025.0,1505.0,1800.0,2356.0
1st Road Class,2507.0,4.499401675309135,1.6317809715373612,1.0,3.0,6.0,6.0,6.0
Road Surface,2507.0,1.2903869166334263,0.515752777646409,1.0,1.0,1.0,2.0,9.0
Lighting Conditions,2507.0,1.8739529317909853,1.4763592120223874,1.0,1.0,1.0,4.0,7.0
Weather Conditions,2507.0,1.3115277223773434,1.1698692720370691,1.0,1.0,1.0,1.0,9.0
Casualty Class,2507.0,1.5883526126844834,0.7509451071726794,1.0,1.0,1.0,2.0,3.0
Casualty Severity,2507.0,2.857199840446749,0.3752506706110845,1.0,3.0,3.0,3.0,3.0
Sex of Casualty,2507.0,1.4008775428799363,0.4901740286614211,1.0,1.0,1.0,2.0,2.0
Age of Casualty,2507.0,35.221380135620265,18.32851904941,3.0,22.0,31.0,47.0,86.0
Type of Vehicle,2507.0,8.451934583167132,7.5273101630668995,1.0,8.0,9.0,9.0,97.0
